task,model,proxy,target,rmse_significance,r2_significance,pearson_significance,spearman_significance,rmse_diff,r2_diff,pearson_diff,spearman_diff
abalone,lr,L1s,L1,1,-1,-1,-1,0.6222254162491372,-46.3178771699711,-0.25487740017497273,-0.26231155163915887
abalone,lr,L1s,L2s,0,-1,-1,0,0.21668506625136352,-656.9924157478447,-0.024765513570203346,0.007330337845569718
abalone,lr,L1s,L2,1,-1,-1,-1,1.7103632269699567,-765.2724579947636,-0.22194638703706968,-0.26763433986781965
abalone,lr,L1s,Lpls,1,1,0,0,0.006224955736168436,21.37642966731164,0.009825607880541168,-0.002333177077594624
abalone,lr,L1s,Lpl,1,-1,-1,-1,0.17239240211584594,-15.515529530613247,-0.2450455587181572,-0.2550733981626186
abalone,lr,L2s,L1s,1,1,-1,0,0.26064960154243666,25.17396206178139,-0.020397709537840855,-0.007372948990029327
abalone,lr,L2s,L1,1,-1,-1,-1,0.16338357024364702,-1.8960265085813077,-0.17422820850417525,-0.2037315026905388
abalone,lr,L2s,L2,1,-1,-1,-1,0.9235322172249489,-30.06556092594741,-0.13594484389305633,-0.20923598251405567
abalone,lr,L2s,Lpls,1,1,-1,0,0.14179834309191874,32.04020133776493,-0.022055565444274866,-0.009656170412296869
abalone,lr,L2s,Lpl,1,1,-1,-1,0.038007276812959234,2.914777875952966,-0.19635346302398107,-0.1965546832294339
abalone,lr,Lpls,L1s,0,-1,0,0,0.007702936977755481,-51.760586932097056,-0.013394711758173472,0.0022932557323510905
abalone,lr,Lpls,L1,1,-1,-1,-1,0.698340951822352,-151.69626158120576,-0.36301618252092355,-0.338647210042644
abalone,lr,Lpls,L2s,0,-1,-1,0,0.26316922406138943,-6103.9227373767035,-0.03498281309955359,0.009801137683494887
abalone,lr,Lpls,L2,1,-1,-1,-1,1.780979802105838,-7650.104426664184,-0.2896059764731377,-0.3443634549022156
abalone,lr,Lpls,Lpl,1,-1,-1,-1,0.19683000093754704,-56.52333462997628,-0.33271752288140605,-0.33193424424580376
abalone,lr,L1,L2,0,-1,0,0,0.30436736225438743,-9.5684469676298,-0.010080602005494488,-0.005647094453073376
abalone,lr,L1,Lpl,1,1,0,0,0.008311679457700727,2.6854713965506316,0.010740377871165163,0.00709115075590433
abalone,lr,L2,L1,1,1,0,0,0.08332578816465208,1.6063365727331598,0.0048212719167321505,0.005317190455508658
abalone,lr,L2,Lpl,1,1,0,1,0.05662130226957196,2.1251734092446277,0.003167118762286092,0.012406904149178777
abalone,lr,Lpl,L1,1,-1,0,0,0.054565911903633246,-8.12482820620546,-0.013371664593962607,-0.007104005977989047
abalone,lr,Lpl,L2,1,-1,-1,-1,0.7597864639219711,-51.47835753622414,-0.026155923746858933,-0.012679895991474566
abalone,xgboost,L1s,L1,1,-1,-1,-1,0.5967431907877228,-87.16359763002771,-0.17499279824281766,-0.2251135204752699
abalone,xgboost,L1s,L2s,0,0,0,1,0.09899974891031604,-2046.4175789459352,-0.005852574623696066,0.08931062843720104
abalone,xgboost,L1s,L2,1,-1,-1,-1,1.0724349107024143,-2187.2402113013804,-0.1494448237021939,-0.2543742477493711
abalone,xgboost,L1s,Lpls,0,1,0,0,0.003129444915057844,1677.097509135288,0.04924973434419039,0.02708847843324326
abalone,xgboost,L1s,Lpl,1,0,-1,-1,0.18442322690987117,-31.555871111182043,-0.22218949107882902,-0.18452007467449683
abalone,xgboost,L2s,L1s,1,0,0,-1,0.24906051896767778,49.00087413023293,-0.03886253936338377,-0.08940343348922834
abalone,xgboost,L2s,L1,1,0,-1,-1,0.12354146713268555,-5.453215350685314,-0.11599564508263763,-0.16921447179955793
abalone,xgboost,L2s,L2,1,-1,-1,-1,0.5387593029799742,-45.615313249421696,-0.10305059767133601,-0.19849979386659153
abalone,xgboost,L2s,Lpls,1,1,0,-1,0.13876081934934215,1692.914293805803,-0.008290028125075483,-0.06228018631705677
abalone,xgboost,L2s,Lpl,1,0,-1,-1,0.02502198863091143,4.536763845126842,-0.15565850976494774,-0.1288273059642499
abalone,xgboost,Lpls,L1s,0,-1,0,0,0.01695316165462568,-3993.8405306783525,-0.03207723561738737,-0.02706636311910951
abalone,xgboost,Lpls,L1,1,-1,-1,-1,0.6946111332966143,-5013.41162491482,-0.3610163554038423,-0.3662657019980119
abalone,xgboost,Lpls,L2s,0,-1,0,1,0.15287906557618136,-4153924.322120766,2.433768111782808e-05,0.06232718584812027
abalone,xgboost,Lpls,L2,1,-1,-1,-1,1.159350300637918,-4329796.833603957,-0.2813329152121942,-0.39550710136105555
abalone,xgboost,Lpls,Lpl,1,-1,-1,-1,0.21659820796327411,-2035.5611804678629,-0.3660112781008632,-0.3259676740875027
abalone,xgboost,L1,L2,0,-1,0,0,0.06384191147593299,-18.11115583383011,-0.03761009992206005,-0.02922396203593214
abalone,xgboost,L1,Lpl,1,0,0,1,0.009509819971350697,5.3536278370485855,0.012140690989849323,0.0406145160003219
abalone,xgboost,L2,L1,1,0,1,0,0.09853383836924978,4.1781954504024785,0.03146113535608214,0.029079065395789527
abalone,xgboost,L2,Lpl,1,0,1,1,0.056024510309931275,3.975134562902973,0.04821211198373532,0.06964218629319774
abalone,xgboost,Lpl,L1,0,-1,0,-1,0.0352902418440757,-19.382998627050256,-0.0060944147048316855,-0.04054378615268556
abalone,xgboost,Lpl,L2,0,-1,0,-1,0.35668942018220484,-149.77375466950392,-0.03510553744207098,-0.0697052797960383
abalone,nn,L1s,L1,1,0,-1,-1,0.26809331284962834,-0.004703498542871998,-0.11885132474350713,-0.03551593810410317
abalone,nn,L1s,L2s,0,-1,-1,-1,0.19707130766588143,-0.20717091612233596,-0.048763786128990995,-0.054074951789826325
abalone,nn,L1s,L2,1,1,-1,1,2.9615401263130092,0.2964404883565883,-0.2011589469912251,0.028502091618415687
abalone,nn,L1s,Lpls,1,0,-1,-1,0.019626538467260257,-0.045916822087372355,-0.04581873521899049,-0.032173710355292345
abalone,nn,L1s,Lpl,1,0,-1,-1,0.03463385069652486,-0.004996913340017062,-0.06544206179915554,-0.04878257333901148
abalone,nn,L2s,L1s,1,1,1,1,0.1387604505320552,0.4572180672617341,0.0694110400248595,0.05410845103776568
abalone,nn,L2s,L1,1,0,0,1,0.08797606047662443,-0.012115837480802805,-0.010656894333167521,0.04010991102687142
abalone,nn,L2s,L2,1,1,-1,1,1.9192662112048637,0.4532689083091834,-0.09208134535920967,0.10396606292973654
